i,time,loss,ce,kl,accuracy
260300,28385.24939274788,0.13728782534599304,0.06660391390323639,0.8024994134902954,0.9744999408721924
260400,28395.725217103958,0.12287956476211548,0.0551992729306221,0.7683982849121094,0.9767499566078186
260500,28406.61387181282,0.1494307518005371,0.08586548268795013,0.7216789722442627,0.9709999561309814
260600,28417.079263448715,0.16359612345695496,0.09722434729337692,0.7535423040390015,0.9770000576972961
260700,28427.73926949501,0.12314574420452118,0.05319666862487793,0.794156551361084,0.9769999980926514
260800,28438.257818460464,0.12741997838020325,0.06118949502706528,0.7519381046295166,0.9757499694824219
260900,28449.080300092697,0.14385342597961426,0.07301829010248184,0.8042163848876953,0.9719999432563782
261000,28459.528047323227,0.13380908966064453,0.06985780596733093,0.7260614037513733,0.969249963760376
261100,28470.208914756775,0.12415456771850586,0.057376254349946976,0.7581577301025391,0.9747499823570251
261200,28480.897841453552,0.17644906044006348,0.10251947492361069,0.8393487930297852,0.9800000190734863
261300,28491.619642734528,0.13387182354927063,0.06543736159801483,0.776960551738739,0.9714999198913574
261400,28502.38133263588,0.13004425168037415,0.06639651209115982,0.7226152420043945,0.9705000519752502
261500,28513.031475305557,0.13896067440509796,0.07424216717481613,0.7347720265388489,0.9769999980926514
261600,28523.47332549095,0.13522741198539734,0.06743565946817398,0.7696637511253357,0.9785000681877136
261700,28534.175186872482,0.13316504657268524,0.0605953224003315,0.8239096403121948,0.9735000729560852
261800,28544.61789083481,0.1239742636680603,0.05950954556465149,0.7318906784057617,0.9762499928474426
261900,28555.52599787712,0.13511084020137787,0.06917370855808258,0.7486075758934021,0.9725000262260437
262000,28566.074204921722,0.11956097185611725,0.05145575478672981,0.7732225656509399,0.9785000681877136
262100,28576.719570159912,0.13714273273944855,0.07067136466503143,0.7546728849411011,0.9802500009536743
262200,28587.171198368073,0.14483529329299927,0.07855827361345291,0.7524664402008057,0.971750020980835
262300,28597.837179660797,0.16434000432491302,0.09519260376691818,0.7850548624992371,0.9737499952316284
262400,28608.30072903633,0.11433354765176773,0.0449737086892128,0.7874667048454285,0.9742500185966492
262500,28618.83122611046,0.12681585550308228,0.06028108671307564,0.7553926706314087,0.9779999256134033
262600,28629.366844654083,0.14101174473762512,0.06966802477836609,0.809990406036377,0.9780000448226929
262700,28640.085626363754,0.11470690369606018,0.04996320232748985,0.7350581288337708,0.9762499332427979
262800,28650.47149038315,0.11357306689023972,0.048703402280807495,0.7364882230758667,0.9690000414848328
262900,28661.102295160294,0.11906632781028748,0.051331065595149994,0.7690223455429077,0.9770000576972961
263000,28671.6062605381,0.1417699158191681,0.07384178042411804,0.7712121605873108,0.9755000472068787
263100,28682.158702135086,0.14586898684501648,0.07640936225652695,0.7885996699333191,0.9762499928474426
263200,28692.547356128693,0.15843811631202698,0.092618428170681,0.7472741603851318,0.9750000238418579
263300,28703.15878891945,0.1365821361541748,0.06550105661153793,0.8070086240768433,0.9722499847412109
263400,28713.743604421616,0.1532871574163437,0.08595491945743561,0.7644466757774353,0.9725000262260437
263500,28724.50779724121,0.13970740139484406,0.0701516643166542,0.7896908521652222,0.9777500033378601
263600,28735.053760051727,0.12881004810333252,0.06263713538646698,0.7512843608856201,0.9757500290870667
263700,28745.928360939026,0.12685872614383698,0.06010277196764946,0.7579038739204407,0.9767499566078186
263800,28756.47897696495,0.12626323103904724,0.060310523957014084,0.7487844228744507,0.9764999151229858
263900,28767.18981695175,0.1433561146259308,0.07979845255613327,0.7215925455093384,0.9792500138282776
264000,28777.7713971138,0.16550984978675842,0.09850430488586426,0.7607375383377075,0.9729999303817749
264100,28788.508612394333,0.12624479830265045,0.0608900785446167,0.7419952154159546,0.9702500104904175
264200,28799.07623410225,0.13248050212860107,0.06586591899394989,0.7562987804412842,0.9744999408721924
264300,28809.913031101227,0.14667555689811707,0.0810449868440628,0.7451270818710327,0.9747500419616699
264400,28820.43923640251,0.1330847591161728,0.07182898372411728,0.6954584717750549,0.9747500419616699
264500,28831.160751342773,0.14339107275009155,0.06548081338405609,0.8845425844192505,0.981249988079071
264600,28841.656369924545,0.1910160481929779,0.12247167527675629,0.7782084941864014,0.971500039100647
264700,28852.258112430573,0.15039971470832825,0.07405300438404083,0.8667912483215332,0.9745000600814819
264800,28862.618245124817,0.13919207453727722,0.07210837304592133,0.7616250514984131,0.9805000424385071
264900,28873.19009757042,0.12878599762916565,0.060071080923080444,0.7801446914672852,0.973250150680542
265000,28883.540188789368,0.1660742461681366,0.09762018173933029,0.7771831750869751,0.9700000286102295
265100,28894.080545186996,0.19411203265190125,0.1101054772734642,0.9537559747695923,0.9682499766349792
265200,28904.46632528305,0.12547419965267181,0.05715019628405571,0.7757065296173096,0.9637500643730164
265300,28915.021048069,0.12447738647460938,0.05974807217717171,0.7348948121070862,0.9775000214576721
265400,28925.43078684807,0.17320692539215088,0.10842813551425934,0.7354565858840942,0.9644999504089355
265500,28936.01716041565,0.10184861719608307,0.035155706107616425,0.7571882009506226,0.9705000519752502
265600,28946.529099941254,0.1410667896270752,0.07519061863422394,0.747915506362915,0.9757499694824219
265700,28957.117540836334,0.11194723844528198,0.04572360962629318,0.7518602013587952,0.9750000238418579
265800,28967.532228946686,0.12359657138586044,0.05725786089897156,0.7531667947769165,0.9807499647140503
265900,28978.14224410057,0.1106303259730339,0.046514324843883514,0.727931559085846,0.9735000133514404
266000,28988.57437825203,0.11344128102064133,0.049419648945331573,0.7268601655960083,0.9764999151229858
266100,28999.28648018837,0.148023784160614,0.07826504856348038,0.791995644569397,0.96875
266200,29009.6671295166,0.14894172549247742,0.08200895041227341,0.7599114775657654,0.9785000681877136
266300,29020.298365354538,0.13447058200836182,0.06737200915813446,0.761793851852417,0.9747499227523804
266400,29030.80473423004,0.14339596033096313,0.07567194104194641,0.768894612789154,0.9782499670982361
266500,29041.465076446533,0.12398554384708405,0.05663733556866646,0.7646279335021973,0.9790000319480896
266600,29051.861397266388,0.13182851672172546,0.06053048372268677,0.8094717264175415,0.9760000705718994
